ds,y
02/13/2023 21:50,0.4692613686
02/13/2023 22:00,0.4692613686
02/13/2023 22:10,0.4728484424
02/13/2023 22:20,0.4721081060
02/13/2023 22:30,0.4662475043
02/13/2023 22:40,0.4649469959
02/13/2023 22:50,0.4649469959
02/13/2023 23:00,0.4694867082
02/13/2023 23:10,0.4748923866
02/13/2023 23:20,0.4748923866
02/13/2023 23:30,0.4709637857
02/13/2023 23:40,0.4677755158
02/13/2023 23:50,0.4670181557
02/14/2023 00:00,0.4807860933
02/14/2023 00:10,0.4795094827
02/14/2023 00:20,0.4831230646
02/14/2023 00:30,0.4745557730
02/14/2023 00:40,0.4745557730
02/14/2023 00:50,0.4771931276
02/14/2023 01:00,0.4749117259
02/14/2023 01:10,0.4898808645
02/14/2023 01:20,0.4855382285
02/14/2023 01:30,0.4847008254
02/14/2023 01:40,0.4901086983
02/14/2023 01:50,0.4901086983
02/14/2023 02:00,0.4864490694
02/14/2023 02:10,0.4864490694
02/14/2023 02:20,0.4865830889
02/14/2023 02:30,0.4876429821
02/14/2023 02:40,0.4974422620
02/14/2023 02:50,0.4988376730
02/14/2023 03:00,0.4973057696
02/14/2023 03:10,0.4978853485
02/14/2023 03:20,0.4979257488
02/14/2023 03:30,0.5018233240
02/14/2023 03:40,0.4993979375
02/14/2023 03:50,0.4984761070
02/14/2023 04:00,0.4984761070
02/14/2023 04:10,0.4961460209
02/14/2023 04:20,0.4929287281
02/14/2023 04:30,0.4948099568
02/14/2023 04:40,0.4949307737
02/14/2023 04:50,0.4924168422
02/14/2023 05:00,0.4965094634
02/14/2023 05:10,0.5017259288
02/14/2023 05:20,0.5017259288
02/14/2023 05:30,0.4994009656
02/14/2023 05:40,0.4990209286
02/14/2023 05:50,0.4809873363
02/14/2023 06:00,0.4889993105
02/14/2023 06:10,0.4924272094
02/14/2023 06:20,0.4915201541
02/14/2023 06:30,0.4914922422
02/14/2023 06:40,0.4957055182
02/14/2023 06:50,0.4926782209
02/14/2023 07:00,0.4964414689
02/14/2023 07:10,0.4915313917
02/14/2023 07:20,0.4931874124
02/14/2023 07:30,0.4971496816
02/14/2023 07:40,0.4982577914
02/14/2023 07:50,0.5036033584
02/14/2023 08:00,0.5036033584
02/14/2023 08:10,0.4987924879
02/14/2023 08:20,0.5014776747
02/14/2023 08:30,0.5014776747
02/14/2023 08:40,0.5031149373
02/14/2023 08:50,0.5002671004
02/14/2023 09:00,0.5005477836
02/14/2023 09:10,0.5079305574
02/14/2023 09:20,0.5079305574
02/14/2023 09:30,0.5098522466
02/14/2023 09:40,0.5087631154
02/14/2023 09:50,0.5099728473
02/14/2023 10:00,0.5081504251
02/14/2023 10:10,0.5070518621
02/14/2023 10:20,0.5001543822
02/14/2023 10:30,0.5001543822
02/14/2023 10:40,0.5001883760
02/14/2023 10:50,0.4993286764
02/14/2023 11:00,0.5000345054
02/14/2023 11:10,0.5024325396
02/14/2023 11:20,0.5020045920
02/14/2023 11:30,0.5010512236
02/14/2023 11:40,0.5014948950
02/14/2023 11:50,0.5018019741
02/14/2023 12:00,0.5005600142
02/14/2023 12:10,0.4986924711
02/14/2023 12:20,0.4986924711
02/14/2023 12:30,0.5015074384
02/14/2023 12:40,0.5014727196
02/14/2023 12:50,0.4986822565
02/14/2023 13:00,0.5008850025
02/14/2023 13:10,0.4980967667
02/14/2023 13:20,0.4980967667
02/14/2023 13:30,0.4985926684
02/14/2023 13:40,0.4982515186
02/14/2023 13:50,0.4978342036
02/14/2023 14:00,0.4971972061
02/14/2023 14:10,0.4968049060
02/14/2023 14:20,0.4929736826
02/14/2023 14:30,0.4939436129
02/14/2023 14:40,0.4931188158
02/14/2023 14:50,0.4884847181
02/14/2023 15:00,0.4880258039
02/14/2023 15:10,0.4876265757
02/14/2023 15:20,0.4870640941
02/14/2023 15:30,0.4901047931
02/14/2023 15:40,0.4892703553
02/14/2023 15:50,0.4905134824
02/14/2023 16:00,0.4937053143
02/14/2023 16:10,0.4906812082
02/14/2023 16:20,0.4905451042
02/14/2023 16:30,0.4915154518
02/14/2023 16:40,0.4856376727
02/14/2023 16:50,0.4856376727
02/14/2023 17:00,0.4913668744
02/14/2023 17:10,0.4913668744
02/14/2023 17:20,0.4913341221
02/14/2023 17:30,0.4900777300
02/14/2023 17:40,0.4900777300
02/14/2023 17:50,0.4905716467
02/14/2023 18:00,0.4939379224
02/14/2023 18:10,0.5010155642
02/14/2023 18:20,0.5010155642
02/14/2023 18:30,0.4984249812
02/14/2023 18:40,0.4963556443
02/14/2023 18:50,0.5006578427
02/14/2023 19:00,0.5049379732
02/14/2023 19:10,0.5045913409
02/14/2023 19:20,0.5045796263
02/14/2023 19:30,0.5028660376
02/14/2023 19:40,0.5026055483
02/14/2023 19:50,0.5032588365
02/14/2023 20:00,0.5052466152
02/14/2023 20:10,0.5025220647
02/14/2023 20:20,0.5020611191
02/14/2023 20:30,0.5027744801
02/14/2023 20:40,0.5031357459
02/14/2023 20:50,0.5066474544
02/14/2023 21:00,0.5107380301
02/14/2023 21:10,0.5085201062
02/14/2023 21:20,0.5095371581
02/14/2023 21:30,0.5075070147
02/14/2023 21:40,0.5017505469
02/14/2023 21:50,0.5017505469
02/14/2023 22:00,0.5050326528
02/14/2023 22:10,0.5011623296
02/14/2023 22:20,0.5016091215
02/14/2023 22:30,0.4993645346
02/14/2023 22:40,0.4930236970
02/14/2023 22:50,0.4930236970
02/14/2023 23:00,0.5035876589
02/14/2023 23:10,0.5426307231
02/14/2023 23:20,0.5437340438
02/14/2023 23:30,0.5457619112
02/14/2023 23:40,0.5519422392
02/14/2023 23:50,0.5280537310
02/15/2023 00:00,0.5337836418
02/15/2023 00:10,0.5337836418
02/15/2023 00:20,0.5331828871
02/15/2023 00:30,0.5328786937
02/15/2023 00:40,0.5295422304
02/15/2023 00:50,0.5321411210
02/15/2023 01:00,0.5274779753
02/15/2023 01:10,0.5305387632
02/15/2023 01:20,0.5300283297
